Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
syscall4,1,"int syscall4(int syscall, int arg0, int arg1, int arg2, int arg3) {",20
nrf52_errata_198,1,static bool nrf52_errata_198(void),6
max,2,"unsigned int max(unsigned int a, unsigned int b) {",3
maxAdjacentResourcesEnemy,4,"short maxAdjacentResourcesEnemy(short zone, short* graph, short* world, int playerId) {",14
target_go_on,1,void target_go_on(pid_t pid),4
brcmf_debugfs_exit,1,static inline void brcmf_debugfs_exit(void),3
Unknown,3,int,7
cAtoi,2,inline int cAtoi(const char c) {,3
Mark_Definition,1,static const char* Mark_Definition(void) {,6
foo387,1,void foo387(int p) {},1
dot_product,1,"long dot_product(long x1, long y1, long x2, long y2) {",3
isan,7,int isan(char c){,5
IsAddop,2,int IsAddop(char c),4
do_504,1,int do_504() { return 504; },1
vied_bit_clear_bit,1,static inline unsigned int vied_bit_clear_bit(,6
pentagonal,1,int pentagonal(int n) { return n * (3 * n - 1) / 2; },1
s_read_octal,5,int s_read_octal(char *str),24
nrf91_errata_16,1,static bool nrf91_errata_16(void),6
void,1,static inline void,4
is_power_of_two,1,static inline int is_power_of_two(int i),4
void,1,static void,5
*filename_remove_path,4,char *filename_remove_path(,22
fls,7,static inline int fls(int x),33
fastA2F,20,float fastA2F(const char *p),79
*,8,char *,20
from64to16,1,static inline unsigned short from64to16(unsigned long x),18
,2,"static long posrelat (long pos, size_t len) {",4
is_in_bound,3,"int is_in_bound(int *arr, int size, int *ptr){",8
sum1,1,static int sum1(int i1) { return i1; },1
,2,unsigned int string_length (char *string) {,7
everytrace_init,1,void everytrace_init(),4
flat_set_persistent,3,"static inline int flat_set_persistent(unsigned int relval, unsigned long *p)",15
foo358,1,void foo358(int p) {},1
inch2mm,1,float inch2mm(float inch),4
nseel_asm_uminus_end,1,void nseel_asm_uminus_end(void) {},1
GridX,1,int GridX(int x) {,3
josephus,2,"int josephus(int n, int k)",12
add_to_arg,1,int add_to_arg(int num),4
nrf53_errata_97,1,static bool nrf53_errata_97(void),6
int32_to_uint8,1,int int32_to_uint8(int x) {,5
redshift,1,double redshift(double a) { return (1.0/a-1.0); },1
test_lastprivate,10,void test_lastprivate() {,50
rightmostone,3,int rightmostone(int i) {,13
,23,"int isdigitx (int c, int radix)",15
istty,1,static int istty(),8
,1,int DoObjGroup (char *s),4
toku_fs_get_blocksize,1,static inline size_t toku_fs_get_blocksize(void),4
bcm_host_deinit,1,static inline void bcm_host_deinit(void) {},1
Prime_is,5,int Prime_is(int p) {,7
Unknown,1,void,5
dmb_noop,1,inline void dmb_noop(),2
do_507,1,int do_507() { return 507; },1
,1,int debug_time () {,10
image_window_redraw_thumbnail,1,void image_window_redraw_thumbnail() {,3
size_t,1,static size_t,5
void,1,extern void,4
QuadraticEaseIn,1,double QuadraticEaseIn(double p),4
f,1,int f(int x){,3
absdiff_cm,2,"long absdiff_cm(long x, long y)",9
estimate,2,"inline double estimate(size_t remaining, double rate)",6
FfbCos,1,float FfbCos(float angle),5
is32bits,1,int is32bits(void),4
nrf52_errata_30,1,static bool nrf52_errata_30(void),6
tetris1,5,"int tetris1(int c, int *arr)",23
foo624,1,void foo624(int p) {},1
jso_number_cstr_to_double,1,double jso_number_cstr_to_double(char *str),4
trim,8,static void trim(char *comment) {,15
loop,19,int loop(int a[][4]){,18
go_syslog,1,"void go_syslog(int facility, const char* msg) {",3
dividing_code_p,8,int dividing_code_p(int code),11
isPowerOfFour,17,bool isPowerOfFour(int num) {,23
,1,char character_encoding (char plaintext_character),9
langRomTypeExtRam48,1,"char* langRomTypeExtRam48() { return ""48kB External RAM""; }",1
test_replaceByte,4,"int test_replaceByte(int x, int n, int c)",18
MMU_InvalidateTlbInstructionsAll,1,void MMU_InvalidateTlbInstructionsAll(void),3
fn2,1,void fn2() {,2
unify_Free,1,void unify_Free(void),9
is_noncanonical,6,"char is_noncanonical(char* pos, int k){",9
*visual_class_name,7,static char *visual_class_name(int clss) {,11
__attribute__,1,"__attribute__((preserve_all)) int add_preserve_all(int a, int b) {",3
Kit_DsdLitNotCond,1,"static inline int Kit_DsdLitNotCond( int Lit, int c ) { return Lit ^ (int)(c > 0); }",1
policyBISTFrameReceived,1,void policyBISTFrameReceived(void),6
YabThreadSleep,1,void YabThreadSleep(void) {},1
rcu_irq_exit_preempt,1,static inline void rcu_irq_exit_preempt(void) { },1
test_lastprivate,10,void test_lastprivate() {,41
douSquare,1,static double douSquare(double d) { return d * d; },1
area,1,double area(double r) {,3
parse_fd,5,static int parse_fd(const char *s) {,16
fun_in_debug_so,1,"int fun_in_debug_so(int a, int b)",4
rk31sdk_get_sdio_wifi_voltage,1,int rk31sdk_get_sdio_wifi_voltage(void),9
Unknown,1,void,5
SC68byte_order,3,int SC68byte_order(void),13
test_subsequence,4,"int test_subsequence(char *s1, char *s2)",11
Unknown,1,void,4
input_map_bbegin,3,int input_map_bbegin(char c),5
strcmp,3,"int strcmp(const char * s1, const char * s2)",10
logxor,4,"static inline int logxor(int log1, int log2) {",3
rightrot,1,"unsigned int rightrot(unsigned int x, int n)",4
set_nonblock,1,int set_nonblock(int fd),6
,3,int next_id (int no_iterate_flag),16
,1,"static inline int security_ioperm (unsigned long from, unsigned long num, int turn_on)",4
kernel__Char__hash,1,long kernel__Char__hash(char self) {,15
stop_prediction_timer,1,static __inline void stop_prediction_timer() {},1
mysyscall,1,unsigned int mysyscall(void) {,3
,5,static int byte_col_gbk2 (int byte) {,8
int,2,static int,5
,1,int main (void),10
__attribute__,1,"static void __attribute__((__warning__(""curl_easy_getinfo expects a pointer to "" ""'struct curl_tlssessioninfo *' for this info""))) __attribute__((__unused__)) __attribute__((__noinline__)) _curl_easy_getinfo_err_curl_tlssesssioninfo(void) { __asm__(""""); }",1
rename,3,"static inline int rename(const char * oldpath,const char * newpath) { long __res; __asm__ volatile (""int $0x80"" : ""=a"" (__res) : ""0"" (38),""b"" ((long)(oldpath)),""c"" ((long)(newpath))); do { if ((unsigned long)(__res) >= (unsigned long)(-125)) { __res = -1; } return (int) (__res); } while (0); }",1
setPerf,1,"void setPerf(short cpu, short mem, short gpu )",3
jz4780_smp_init,1,static inline void jz4780_smp_init(void) { },1
Unknown,1,void,4
__attribute__,1,"static void __attribute__((__warning__(""curl_easy_setopt expects a curl_ssl_ctx_callback argument for this option""))) __attribute__((__unused__)) __attribute__((__noinline__)) _curl_easy_setopt_err_ssl_ctx_cb(void) { __asm__(""""); }",1
main,1,int main(){,14
_cffi_carefully_make_gil,1,static int _cffi_carefully_make_gil(void),5
Unknown,1,int,5
countToEol,4,static int countToEol(const char *pRead),8
print_ip,1,"void print_ip(struct sockaddr_in *sin, char *buf) {",3
,1,void INT_P1 (void) { },1
*roadmap_log_filename,1,const char *roadmap_log_filename(),12
SHAREMIND_SET_KEY_LESS_THAN_int_fast64_t,1,"inline bool SHAREMIND_SET_KEY_LESS_THAN_int_fast64_t(int_fast64_t const k1, int_fast64_t const k2) { return k1 < k2; }",1
g,1,static int g(int b) {return b;},1
void,1,static inline void,4
*,14,const char *,34
function,1,int function(int arguments),4
room_assign,5,int room_assign(char li){,11
SocketClose,1,inline int SocketClose(int sockfd) { return close( sockfd); },1
rk29_sdmmc_set_iomux,4,"static void rk29_sdmmc_set_iomux(int device_id, unsigned int bus_width)",23
do_227,1,int do_227() { return 227; },1
int,1,static int,6
mySqrt,6,int mySqrt(int x) {,24
SPUsetVolumeL,1,"void SPUsetVolumeL(unsigned char ch, short vol)",4
path_040_expected_1,2,void path_040_expected_1(int y) {,5
Getpgrp,1,pid_t Getpgrp(void) {,3
int,2,static int,8
create_fd,2,static int create_fd(void),12
least_common_multiple,1,"int least_common_multiple(int ival1,int ival2)",5
GetCompileMinute,1,"static int GetCompileMinute(void){int minute= (((""16:58:43""[3]-'0')*10) + (""16:58:43""[4]-'0')); return(minute);}",1
alpha,5,int alpha(char c),4
int,1,static inline unsigned int,5
int,1,static inline int,5
baz,1,int baz(int a),4
int,1,static int,5
mx51_neon_fixup,1,static inline int mx51_neon_fixup(void) { return 0; },1
ucd_cell_nlist_size,2,int ucd_cell_nlist_size(int cell_type),4
SpeedGet,3,static int SpeedGet(int d),10
min,2,"int min(int a,int b)",4
Unknown,1,int,11
_dcache_invalidate_all,1,static void _dcache_invalidate_all(void),4
atmel_atmega328_Mcu_shutdown__E,1,void atmel_atmega328_Mcu_shutdown__E() {,2
rk31sdk_get_sdmmc0_pin_io_voltage,1,int rk31sdk_get_sdmmc0_pin_io_voltage(void),8
virtual_dma_init,1,__inline__ void virtual_dma_init(void),4
truncateInt,7,"static unsigned long truncateInt(unsigned long in, bool sign, char varLength) {",17
long,2,static unsigned long,12
close_all_fd,3,void close_all_fd(int fd),9
numIsMember,3,"int numIsMember(int n, int *array) {",19
long,1,static long,21
,1,long v_long_func () { return (0); },1
,1,int integer (double value),4
ft_isalpha,5,int ft_isalpha(int c),9
void,1,static void,5
max,2,"int max(int num1, int num2) {",10
load_average_get_cpus,1,int load_average_get_cpus(),4
kernel_3_a_acoustic_cuda_,1,void kernel_3_a_acoustic_cuda_,2
HugsAPIVersion,1,int HugsAPIVersion() {return (5);},1
nrf53_errata_83,1,static bool nrf53_errata_83(void),6
isspace,7,int isspace(int c),14
dummy_proc_5,1,"void dummy_proc_5(int a0, int a1, int a2, int a3, int a4){",3
void,1,static void,4
strcmp,6,"int strcmp(const char *a, const char *b)",13
double_to_d16,1,static inline int double_to_d16(double x),4
monlist_get_monster_count,1,int monlist_get_monster_count(int idx),6
Unknown,3,int,9
int,1,unsigned int,5
uwsgi_tcp_nodelay,1,void uwsgi_tcp_nodelay(int fd) {,8
Match,28,"static int Match(const char *EntryName, const char *filename)",51
lin_inter,1,"static float lin_inter(float x, float y, float s) {",3
get_right_index,1,int get_right_index(int i),4
async_setup_stdin,1,int async_setup_stdin(void) {,4
check_primo,7,int check_primo(int check_num) {,26
test_tag_expresssion,2,void test_tag_expresssion(int b) {,5
lcdl_clear,1,void lcdl_clear(void),4
int,7,static inline int,20
Unary,5,static int Unary(int op),15
find_max_nonzero,4,"double find_max_nonzero(double *array,int n){",9
MSB,1,static unsigned char MSB(const unsigned short word),4
fib_sum,3,int fib_sum(long limit),14
div,2,"int div(int a, int b)",8
user_dec,1,static void user_dec(void) {},1
_hash_string_efficient,2,"int _hash_string_efficient(const char* str, int M){",8
,1,"void os_set_colour (int x, int y) {}",1
serialHasChar,2,int serialHasChar(int fd) {,10
compare_version,11,"int compare_version(char *ver1, char *ver2) {",30
isSameDropSet,7,"static int isSameDropSet(int* a, int* b) {",23
PDF_LinkCheck,1,static void PDF_LinkCheck(void),8
ft_isalpha,5,int ft_isalpha(int c),7
my_abs,2,int my_abs(int val),8
to_hex,1,static char to_hex(char code) {,5
mce_bank_name,5,const char* mce_bank_name(int id),25
fz_absi,2,static inline int fz_absi(int i),4
_PyPy_set_387controlword,1,static void _PyPy_set_387controlword(unsigned short cw) {,3
nrf53_errata_51,1,static bool nrf53_errata_51(void),6
Unknown,1,int,5
DayOfWeek,2,int DayOfWeek(,12
,1,void imem (){},1
min,2,"int min(int a, int b) {",3
get_base_prime,7,int get_base_prime(char base) {,18
integral_ffxixi,133,"double integral_ffxixi(int i, int j,",362
Unknown,1,int,5
gcd,11,"int gcd(int a,int b) {",31
main,1,int main(),7
Unknown,2,int,11
foo645,1,void foo645(int p) {},1
zwSearch,1,"int zwSearch(int beta, int depth ) {",4
ns_yet_another_symbol,2,void ns_yet_another_symbol(void),7
operators_equals,1,void operators_equals(),5
ModifyData,1,int ModifyData(){,4
my_str_isprintable,5,int my_str_isprintable(char *str),15
test,1,void test() {,28
count,1,"int count(int a, int b, int c, int d)",4
device_handle_key,9,"int device_handle_key(int key_code, int visible) {",20
int,1,static inline int,6
int,1,inline int,5
Search_GTI,14,"static long Search_GTI( double evtTime, long nGTI, double *start,",41
exit_irq_thread,1,static inline void exit_irq_thread(void) { },1
mdp4_dmas_done_mddi,1,static inline void mdp4_dmas_done_mddi(int cndx),4
inline,1,static inline,4
rangeBitwiseAnd,4,"int rangeBitwiseAnd(int m, int n) {",13
vlan_gvrp_init,1,static inline int vlan_gvrp_init(void) { return 0; },1
dummy,1,float dummy(),5
doOtherThing,1,"int doOtherThing(int a, int b) { return a; }",1
lifenumber,3,int lifenumber(int a),10
test6,1,__inline int test6() { return 0; },1
esock_ssl_finish,1,void esock_ssl_finish(void),4
foo792,1,void foo792(int p) {},1
i_need_me,1,int i_need_me() {,3
DenseSize,1,"double DenseSize(int n, double sum_nw)",4
Unknown,2,size_t,8
check_checksums,1,static inline void check_checksums(void) { },1
phi2,1,"float phi2(float mu, float psi)",4
divider_init,1,int divider_init() {,7
*mapfile,5,"void *mapfile(const char *file, int *size)",24
inv,6,"int inv(char dna[], int n)",13
USBSTK5505_wait,2,void USBSTK5505_wait( unsigned long delay ),5
alock_native_byte_order,2,int alock_native_byte_order() {,4
blockDeviceSizeFromFD,1,size_t blockDeviceSizeFromFD(const int fd) {,5
netmask,2,static in_addr_t netmask(int prefix) {,4
mystrchrnul,3,"char* mystrchrnul(char *str, char ch) {",8
strlen,2,size_t strlen(const char *s),8
irq_8259_eoi,1,void irq_8259_eoi(int irq){},1
gcd,5,"int gcd(int n1, int n2){",14
void,1,static inline void,4
timing_enter_max_prio,1,void timing_enter_max_prio(void),3
SetMainClockToSubOscillator,1,void SetMainClockToSubOscillator(void),3
S_Search,3,"int S_Search(int *arr, int key)",7
main,1,int main(void),8
bessel,2,static float bessel(float x),19
int,1,unsigned short int,5
validate_int_HR,3,int validate_int_HR(int hr){,3
hw_waitforindex,1,void hw_waitforindex(),4
,16,"int tzadjust ( int tzdelta, int *year, int *month, int *day, int *hour )",42
SHAREMIND_MAP_KEY_EQUALS_int_least64_t,1,"inline bool SHAREMIND_MAP_KEY_EQUALS_int_least64_t(int_least64_t const k1, int_least64_t const k2) { return k1 == k2; }",1
,1,int close (int file) { return -1 ; },1
case_strstr,14,"int case_strstr( const char *haystack, const char *needle )",26
void,2,inline void,12
Exception_Description,1,static const char* Exception_Description(void) {,20
*rndrm99_get_description,1,static const char *rndrm99_get_description(void),23
char_to_int,11,static int char_to_int(unsigned char x),16
Max,2,"inline float Max(float v1,float v2)",4
MP_sleep,3,static void MP_sleep(,26
nseel_asm_min_end,1,void nseel_asm_min_end(void) {},1
int,3,static inline int,5
imul,1,"int imul(int i, int j)",4
alarm_handler,1,void alarm_handler( int signum ){,3
tcm_init,1,inline void tcm_init(void),3
Unknown,7,static,14
find_age,3,"int find_age(int candles, int offset)",8
foo335,1,void foo335() {},1
bool,8,static inline bool,8
f2,2,static void f2(void),7
TestSwitch,5,void TestSwitch(int i) {,13
LIS302DL_DeInit,1,void LIS302DL_DeInit(void),4
f,1,void f() {,6
binarySearch,4,"int binarySearch(int arr[], int l, int r, int x)",15
ioprio_set,1,"static inline int ioprio_set(int which, int who, int ioprio)",4
test_aligned,22,void test_aligned() {,96
fsHashKey,1,"static int fsHashKey(int nHash, int iPg){",3
SPI_SD_DisableTxInt,1,void SPI_SD_DisableTxInt(void),6
LockMagickMutex,1,static inline void LockMagickMutex(void),4
,1,"float obdConvert_47_4B (unsigned int A, unsigned int B, unsigned int C, unsigned int D) {",3
misc_read,1,static int misc_read(void),8
foo,2,int foo(int n),10
HelpItem152,1,int HelpItem152( void ),5
*X509_get_default_cert_dir_env,1,const char *X509_get_default_cert_dir_env(void),4
sigchld_handler,1,void sigchld_handler(int signum),5
procnetdev_ver,3,static inline int procnetdev_ver(char *buf),8
foo628,1,void foo628() {},1
,1,static int file_linked (const struct stat * stat),4
OSDSoftReset,1,void OSDSoftReset(void),3
user_id_verify,5,int user_id_verify(char *user_id),6
is_space,6,int is_space(char c) {,4
raimundo,1,int raimundo(int x),4
nrf52_errata_131,1,static bool nrf52_errata_131(void),6
void,1,static void,4
byt_ulpmc_suspend_sdp_charging,1,int byt_ulpmc_suspend_sdp_charging(void),4
gcd,3,"static int gcd(int a, int b)",10
__attribute__,3,static inline __attribute__((const)) int av_toupper(int c),6
hash,1,unsigned int hash(int key),4
strcmp,3,"int strcmp(const char *str0, const char *str1)",7
max,2,"static inline int max(int a, int b)",4
has_bogus_spec,1,int has_bogus_spec(void),4
ksp_get_micro_version,1,long ksp_get_micro_version(void),4
do_424,1,int do_424() { return 424; },1
slog,2,static int slog(int n),6
foo735,1,void foo735(int p) {},1
is_leap_year,3,int is_leap_year(int year),4
nseel_asm_below_end,1,void nseel_asm_below_end(void) {},1
nrf53_errata_47,1,static bool nrf53_errata_47(void),6
nrf52_errata_42,1,static bool nrf52_errata_42(void),6
Unknown,10,int,49
omp_init_lock,1,void omp_init_lock(omp_lock_t *lock) {},1
imul_lo_op_32,1,"unsigned int imul_lo_op_32(int a, int b)",4
Unknown,1,int,6
plugin_exit_raspi,1,void plugin_exit_raspi(void),5
dir_sep,1,static inline int dir_sep(char x) { return x == '/'; },1
HandleSIGPIPE,1,void HandleSIGPIPE(),4
is_subcore_capable,1,int is_subcore_capable(void),4
event_on_off,1,int event_on_off(int on_off),5
STEAM_HintResourceNeed,1,"static inline int STEAM_HintResourceNeed( const char * mapcycle, int forgetEverything ) { return 1; }",1
size_t,2,static inline size_t,19
block_cli_if_desc_update_post_fault_lock_component_free,1,static inline int block_cli_if_desc_update_post_fault_lock_component_free(),4
VideoInitGlut,1,void VideoInitGlut(),4
do_638,1,int do_638() { return 638; },1
debugpins_task_toggle,1,void debugpins_task_toggle() {,2
SHAREMIND_MAP_KEY_FREE_short,1,inline void SHAREMIND_MAP_KEY_FREE_short(short * const dest) { (void) dest; },1
chkcir,2,"bool chkcir(const double x, const double y)",18
nrf52_errata_135,1,static bool nrf52_errata_135(void),6
*str_skip_whitespaces,6,char *str_skip_whitespaces(char *str),6
compute_coupling_el_ac_cuda_,1,void compute_coupling_el_ac_cuda_,4
*test_1_get_title,1,static const char *test_1_get_title(void),4
do_794,1,int do_794() { return 794; },1
isdigit,3,inline int isdigit(int c),8
glob_stub,1,"int glob_stub(const char* epath, int err) {",3
MultHi,1,"static inline int MultHi(int v, int coeff) {",3
,1,inline unsigned int BigLong (unsigned int x),8
foo,2,void foo(int N) {,5
f2,2,void f2(const char *str) {,9
INT_Excep_TPU11_TCI11U,1,void INT_Excep_TPU11_TCI11U(void){ },1
show_cursor,3,"static inline void show_cursor() { if (write(1, ""\033[?25h\033[?0c"", 11)) do {} while(0); }",1
getNumber,14,"int getNumber(const char* str, int* number)",54
linear,3,"int linear(int a[10], int n, int who)",11
ser_number_of_bits_to_id,5,static int ser_number_of_bits_to_id( int nb ),11
do_984,1,int do_984() { return 984; },1
SIGN,1,int SIGN(int a),4
release_session_handler,1,void release_session_handler() {,6
inc,1,int inc(void),4
inverse,2,static inline double inverse(const double a),5
is_flags,6,int is_flags(char c),6
,2,"static double percent (double a, double b) { return b ? (100 * a) / b : 0; }",1
SV_SendServerInfoChange,1,"static void SV_SendServerInfoChange(char *key, char *value)",4
pradice,5,"double pradice(double b,double r){",17
fz_clampi,3,"static inline int fz_clampi(int i, int min, int max)",4
fix_validate,1,static void fix_validate(void),4
__attribute__,1,"__attribute__((visibility(""default""))) void MoveScreen (int xpos, int ypos)",3
test_no_clause,2,void test_no_clause() {,10
ldl_valid_matrix,10,int ldl_valid_matrix,28
toHex,23,int toHex(char c){,36
factor,4,static int factor(int n),24
Unknown,3,int,12
int,6,static int,17
*__attribute__,1,"void *__attribute__((noinline, noclone)) foo(void)",5
intmax,1,"static __inline__ int intmax(int x, int y)",4
load,1,int load(int *p) {,4
os_log_shim_with_va_list,1,int os_log_shim_with_va_list(),4
gcd_s_loop,4,"int gcd_s_loop(int a, int b) {",11
foo326,1,void foo326() {},1
omp_get_thread_num,1,int omp_get_thread_num(void),4
toi_initiate_cluster_hibernate,1,static inline void toi_initiate_cluster_hibernate(void) { },1
,1,void fa162 (int n) { { int b[n]; { int c[n]; 0;} { int d[n]; 0;} ; int e[n]; 0;}; { int f[n]; { int g[n]; goto a; a:0;}; { int h[n]; 0;}; ; int i[n]; 0;}; ; int j[n]; 0; },1
check_for_orphaned_hosts,1,void check_for_orphaned_hosts(void) {},1
Unknown,4,long,13
closetty,1,void closetty(int fd) {,4
isNum,2,static inline int isNum(const char *op) {,3
dummy_sysquotas_4A,1,void dummy_sysquotas_4A(void){},1
is_strike_char,1,int is_strike_char(char c),4
ti_sum_start,1,int ti_sum_start(double const *options) {,3
s0fillbuffer,1,void s0fillbuffer(void),3
sgsXPC_SetCurrentDirectory,1,int sgsXPC_SetCurrentDirectory( char* path ),7
*lcd_inputbuildinputline,1,"char *lcd_inputbuildinputline(char *src, int bol, int cursor)",5
unescapeByte,1,static char unescapeByte(char charToUnescape),4
,1,void iniciaOperacao (){,3
foo628,1,void foo628(int p) {},1
Unknown,1,intptr_t,4
,2,"static int _write_byte (int fd, char c) {",4
int,3,static int,5
min,2,"int min(int a, int b) {",3
WebPInitUpsamplersMSA,1,void WebPInitUpsamplersMSA(void) {},1
answer,1,int answer(int n),4
entity_func2,1,int entity_func2() {,3
cube,1,double cube(float f),4
forward_data_synch,2,"void forward_data_synch(int source_sock, int destination_sock, int duplicate_destination_sock)",26
pm8921_bms_calibrate_hkadc,1,static inline void pm8921_bms_calibrate_hkadc(void),3
sfxhash_nearest_powerof2,2,int sfxhash_nearest_powerof2(int nrows),11
do_235,1,int do_235() { return 235; },1
getXNr,1,int getXNr(char c){,3
is_alpha,5,static inline unsigned char is_alpha( const char c ),4
shift,21,"char shift(char cell, char dir) {",54
bardef,1,void bardef() { },1
tpl_cpu_bigendian,2,static int tpl_cpu_bigendian() {,6
__attribute__,1,"__attribute__((section(""action-ko""),used)) int action_ko(struct __sk_buff *s)",5
receivedata_close,2,void receivedata_close(int fd) {,4
main,2,int main(void),18
*_ZN11OSMetaClassnwEm,1,void *_ZN11OSMetaClassnwEm(__attribute__((unused)) unsigned long size) { return (void *)0ULL; },1
intpow,2,"int intpow(int x, int p)",6
isLetter,3,bool isLetter(char ch),7
dns_v_rel,1,int dns_v_rel(void) {,3
mblen,1,"int mblen(const char *mbstr, size_t count)",4
single_tax,10,float single_tax(float income),27
test_goto3,1,void test_goto3(),12
Unknown,1,void,5
GetAuidoType,10,"int GetAuidoType( char* descriptor, int length )",41
Unknown,1,void,8
bang,1,int bang(int x) {,5
LogClose,1,void LogClose(void),4
,1,void destroy (void),4
test_ilog2,2,int test_ilog2(int x) {,11
set_a,1,void set_a(int x){,4
,5,"void limpia (int *tabla, int *n)",19
hcd,4,"int hcd(int *vals, int length) {",25
dsi_init_platform_driver,1,static inline int dsi_init_platform_driver(void),4
match,6,"const int match(const char* line, const size_t length, const char* pattern) {",11
min_d,2,"double min_d(double a, double b)",5
fact,3,int fact(int n){,6
gff3PhaseToFrame,4,static inline int gff3PhaseToFrame(int phase),14
,1,int seek_set_function (void) { return 0; },1
DMA_IRQHandler,1,void DMA_IRQHandler(void),3
calcstrsum,2,int calcstrsum(char *name) {,9
foo222,1,void foo222(int p) {},1
qurt_fabs,2,float qurt_fabs(float n),8
,2,"int ssbgst (int c, int k)",14
iceil,1,static inline int iceil(float f) { return (int)(f+0.9999999); },1
Unknown,1,int,5
ansi_c_ast_gen_placeholder,1,void ansi_c_ast_gen_placeholder(void) { },1
c095,1,int c095(void) { return 0; },1
board_flash_write_datafs,4,"int board_flash_write_datafs(char* buf, int buf_size)",16
LZ4_sizeofStreamState,2,int LZ4_sizeofStreamState() { return (((1 << (14 -3)) + 4 + ((sizeof(void*)==16) ? 4 : 0) ) * sizeof(unsigned long long)); },1
hash_djb2,2,unsigned int hash_djb2(const char* str) {,9
fibonacci,4,int fibonacci(int n),23
le2belong,1,unsigned long le2belong(unsigned long ul) {,4
gcd,2,"int gcd(int m, int n)",11
t27,1,void t27(void) {,7
taint_count_op_to_string,26,const char* taint_count_op_to_string(int op),57
cealtesthook_input_generate,1,void cealtesthook_input_generate(long size) { },1
bidir_sal,2,"static inline int bidir_sal(int value, int offset)",5
hexx,23,int hexx(char c),30
main,1,int main(void),5
*trim,9,char *trim(char *s),7
C_Utils_min_double,2,"static double C_Utils_min_double(const double item1, const double item2) { return item1 > item2 ? item1 : item2; }",1
,2,int wt (int v[25]),8
invert,1,"int invert(int x, int p, int n) {",5
lower,3,int lower(int c) {,3
foo,1,int foo(char x){,3
isgraph,2,static inline int isgraph(int c) {,3
int,1,static int,5
PB_Cspan,4,"int PB_Cspan( int N, int I, int INB, int NB, int SRCPROC, int NPROCS )",18
Unknown,2,float,11
hl_hash_del,1,int hl_hash_del(char *key) {,3
Unknown,1,__attribute__((noinline)),5
__attribute__,1,"static void __attribute__((warning(""curl_easy_setopt expects a curl_opensocket_callback argument for this option""))) __attribute__((unused)) __attribute__((noinline)) _curl_easy_setopt_err_opensocket_cb(void) { __asm__(""""); }",1
fsl_udc_clk_resume,1,static inline void fsl_udc_clk_resume(void),3
m_strlen,2,static size_t m_strlen(char *str),11
foo181,1,void foo181() {},1
*,1,static inline void *,5
*cwirc_shm_attach,1,void *cwirc_shm_attach(int shmid),4
foo749,1,void foo749(int p) {},1
test_absVal,2,int test_absVal(int x) {,3
,1,static int byte_row_cns11643 (int byte) {,3
,2,"int max_int (int a, int b)",4
quad_3,1,"static double quad_3(const double x0, const double g[3], const double H[6],",8
cps,1,static unsigned char cps() {,4
,1,void os_set_font (int x) {},1
rk31sdk_get_sdmmc0_pin_io_voltage,1,int rk31sdk_get_sdmmc0_pin_io_voltage(void),8
calculate,1,int calculate(int x),4
rt,1,float rt(float val),4
satuw,3,static inline int satuw(int x),10
petter,2,int petter(int N){,11
template_wrap,1,int template_wrap(),4
graytobi,2,int graytobi(int n){,8
Mem_Alloc,1,void* Mem_Alloc(int size),4
do_shift,1,"int do_shift(int a, int shift) {",3
char,1,unsigned char,5
Unknown,2,int,9
min,2,"double min(double a, double b)",4
CmpDoubles,3,"int CmpDoubles(const double *keyval, const double *datum) {",8
foo534,1,void foo534(int p) {},1
update_crc_sick,2,"unsigned short update_crc_sick(unsigned short crc, char c, char prev_byte) {",18
SHAREMIND_MAP_KEY_LESS_int_fast32_t,1,"inline bool SHAREMIND_MAP_KEY_LESS_int_fast32_t(int_fast32_t const k1, int_fast32_t const k2) { return k1 < k2; }",1
MaybeReadMemoryBarrier,1,static inline void MaybeReadMemoryBarrier() {},1
do_615,1,int do_615() { return 615; },1
sandbox_release_fs_extension,1,int sandbox_release_fs_extension(const char *ext_token),4
,1,float sin_core (float x),9
mksym_i16,1,short mksym_i16() {return 0;},1
Calc_TrimWhiteSpace,1,void Calc_TrimWhiteSpace(char* input),4
delay_loop,3,static void delay_loop(void),6
Unknown,5,static,19
,5,"static int hashString (char *cp, int n, int isDiff)",19
foo101,1,void foo101(int p) {},1
ft_strncmp,8,"int ft_strncmp(const char *s1, const char *s2, size_t n)",14
double,1,static double,9
,2,"float Q_powf ( float x, int y )",7
print_board,4,int print_board(int board[8][8]) {,16
csapp_alarm,1,unsigned int csapp_alarm(unsigned int seconds) {,3
long,3,static inline unsigned long,19
foo331,1,void foo331(int p) {},1
lowercase,3,static int lowercase(int ch) {,5
foo711,1,void foo711(int p) {},1
hash2size,2,static size_t hash2size( unsigned short hash ),7
foo436,1,void foo436() {},1
do_131,1,int do_131() { return 131; },1
void,12,static void,24
,1,double julian_ephemeris_century (double jde),4
matrixAdd,1,void matrixAdd(),4
short,16,unsigned short,44
scr,1,static unsigned char scr() {,4
int,1,static int,5
tuneToVOCFreqDiv,4,static int tuneToVOCFreqDiv(int tune),19
returnIntI,1,int returnIntI(int arg) {,3
count,3,"int count(const int width, const int height) {",9
,1,void test_io () {,2
dummy_file_function,1,void dummy_file_function(int a),3
Unknown,1,int,4
FNoArgs,1,void FNoArgs() {,2
